et,c,lat,long,fat
Battle-Rebels overtake territory,Central African Republic,8.4091,20.653,2
Battle-Rebels overtake territory,Central African Republic,8.071,22.3996,0
Battle-Rebels overtake territory,Central African Republic,9.25,22.7,2
Battle-Rebels overtake territory,Central African Republic,8.3583,20.7029,14
Battle-Rebels overtake territory,Central African Republic,8.4091,20.653,0
Battle-Rebels overtake territory,Central African Republic,6.5333,21.9833,0
Battle-Rebels overtake territory,Central African Republic,7.65,18.617,0
Battle-Rebels overtake territory,Central African Republic,6.26793,21.22468,0
Battle-Rebels overtake territory,Central African Republic,5.7472,20.6636,0
Battle-Rebels overtake territory,Central African Republic,5.7619,20.6672,0
Battle-Rebels overtake territory,Central African Republic,6.9833,19.1833,0
Battle-No change of territory,Chad,12.75,16.5,0
Battle-No change of territory,Chad,20.45917,18.56333,0
Battle-No change of territory,Chad,12.1085,15.0482,0
Battle-No change of territory,Chad,13.32851,14.12174,2
Battle-Government regains territory,Democratic Republic of the Congo,-1.205661,29.089737,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.582778,28.986111,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.324167,28.756389,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.2833,29.55,1
Battle-Government regains territory,Democratic Republic of the Congo,-1.2833,29.55,1
Battle-Government regains territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-Government regains territory,Democratic Republic of the Congo,-4.5733,29.1372,5
Battle-Government regains territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.25,28.75,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.264444,28.376944,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.3166,29.6,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.736064,29.036865,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.323611,29.488056,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-Government regains territory,Democratic Republic of the Congo,0.366667,25.383333,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-Government regains territory,Democratic Republic of the Congo,-4.302415,28.941966,0
Battle-Government regains territory,Democratic Republic of the Congo,-3.4,29.133333,0
Battle-Government regains territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.343889,29.359444,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.647349,29.43891,0
Battle-Government regains territory,Democratic Republic of the Congo,-2.628333,28.665833,6
Battle-Government regains territory,Democratic Republic of the Congo,1.559406,30.252237,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.933333,29.333333,0
Battle-Government regains territory,Democratic Republic of the Congo,0.852366,29.257653,0
Battle-Government regains territory,Democratic Republic of the Congo,-4.3011,28.9441,0
Battle-Government regains territory,Democratic Republic of the Congo,-4.3011,28.9441,0
Battle-Government regains territory,Democratic Republic of the Congo,-4.3011,28.9441,0
Battle-Government regains territory,Democratic Republic of the Congo,0.5,29.4667,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.266667,29.383333,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-Government regains territory,Democratic Republic of the Congo,-0.647349,29.43891,0
Battle-Government regains territory,Democratic Republic of the Congo,-1.573611,29.045,0
Battle-Government regains territory,Democratic Republic of the Congo,1.35,29.05,3
Battle-Government regains territory,Democratic Republic of the Congo,1.35,29.05,3
Battle-No change of territory,Democratic Republic of the Congo,-2.50833,28.86083,8
Battle-No change of territory,Democratic Republic of the Congo,-1.461384,28.524498,0
Battle-No change of territory,Democratic Republic of the Congo,-1.4,28.8167,10
Battle-No change of territory,Democratic Republic of the Congo,-0.704918,29.371609,1
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-0.66667,26.75,0
Battle-No change of territory,Democratic Republic of the Congo,0.5,29.4667,13
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,5
