et,c,lat,long,fat
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,9
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,153
Battle-No change of territory,Democratic Republic of the Congo,-8.033333,26.8,0
Battle-No change of territory,Democratic Republic of the Congo,-7.3,27.416667,0
Battle-No change of territory,Democratic Republic of the Congo,-8.633333,27.333333,0
Battle-No change of territory,Democratic Republic of the Congo,-8.633333,27.333333,0
Battle-No change of territory,Democratic Republic of the Congo,-8.466667,28.9,0
Battle-No change of territory,Democratic Republic of the Congo,-1.413056,29.373056,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,10
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-2.7,27.3333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-No change of territory,Democratic Republic of the Congo,1.85,29.9667,2
Battle-No change of territory,Democratic Republic of the Congo,-1.582778,28.986111,0
Battle-No change of territory,Democratic Republic of the Congo,-7.333333,29.516667,0
Battle-No change of territory,Democratic Republic of the Congo,-1.616667,29,0
Battle-No change of territory,Democratic Republic of the Congo,1.049715,29.927717,0
Battle-No change of territory,Democratic Republic of the Congo,-6.2,23.383333,9
Battle-No change of territory,Democratic Republic of the Congo,1.35,29.05,3
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,2
Battle-No change of territory,Democratic Republic of the Congo,3.137058,29.889081,2
Battle-No change of territory,Democratic Republic of the Congo,-11.6833,27.45,4
Battle-No change of territory,Democratic Republic of the Congo,-2.7,27.3333,0
Battle-No change of territory,Democratic Republic of the Congo,-2.7,27.3333,2
Battle-No change of territory,Democratic Republic of the Congo,1,20.5,2
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1,28.233333,2
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.246163,27.589417,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.582778,28.986111,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.582778,28.986111,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-0.16,29.22,2
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.32361,29.48806,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,1.8166,30.6333,6
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.3166,29.6,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.273056,29.548889,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.283333,29.55,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-0.647349,29.43891,1
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.3166,29.6,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.216667,29.383333,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.416667,28.074017,3
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.651944,28.876944,10
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.1841,29.4488,5
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.343889,29.359444,32
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.4,28.8167,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,0.852366,29.257653,5
Battle-Rebels overtake territory,Democratic Republic of the Congo,0.5,29.4667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-0.737577,29.624232,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,1.85,29.9667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,1.85,29.9667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,1.85,29.9667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,1.85,29.9667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,1.85,29.9667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.206667,28.743611,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-3,28.466667,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.679167,29.222778,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.573611,29.045,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.573611,29.045,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.573611,29.045,0
Battle-Rebels overtake territory,Democratic Republic of the Congo,-1.573611,29.045,4
Battle-No change of territory,Djibouti,11.766667,42.658056,0
Battle-No change of territory,Egypt,29.7,32.3,3
Battle-No change of territory,Egypt,30.05,31.25,0
Battle-No change of territory,Egypt,29.5,34,1
Battle-No change of territory,Egypt,29.5,34,2
Battle-No change of territory,Egypt,29.5,34,0
Battle-No change of territory,Egypt,31.13159,33.79844,2
Battle-No change of territory,Egypt,31.2878,34.2369,1
Battle-No change of territory,Egypt,30.05,31.25,1
Battle-No change of territory,Egypt,29.559123,33.843384,1
Battle-No change of territory,Egypt,24.36459,32.906218,12
Battle-No change of territory,Egypt,30.464572,33.780212,1
Battle-No change of territory,Egypt,30.580293,32.252426,1
Battle-No change of territory,Egypt,29.990326,31.14903,0
Battle-No change of territory,Egypt,31.117031,34.128342,2
Battle-No change of territory,Egypt,30.35636,34.616289,0
Battle-No change of territory,Egypt,29.763446,31.242714,1
Battle-No change of territory,Egypt,31.2878,34.2369,0
Battle-No change of territory,Egypt,31.2878,34.2369,16
Battle-No change of territory,Egypt,31.2878,34.2369,5
Battle-No change of territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Egypt,31.224444,34.109722,20
Battle-No change of territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Egypt,31.105133,34.125157,6
Battle-No change of territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Egypt,31.1261,33.8019,3
Battle-No change of territory,Egypt,31.224444,34.109722,0
Battle-No change of territory,Egypt,30.5,33.7,2
Battle-No change of territory,Egypt,31.105133,34.125157,0
Battle-No change of territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Egypt,31.224444,34.109722,0
Battle-No change of territory,Egypt,31.2878,34.2369,1
Battle-No change of territory,Egypt,31.2878,34.2369,1
Battle-No change of territory,Egypt,30.94417,34.31472,1
Battle-No change of territory,Egypt,31.117031,34.128342,0
Battle-No change of territory,Egypt,30.983349,33.898315,0
Battle-No change of territory,Egypt,31.117031,34.128342,0
Battle-No change of territory,Egypt,31.105133,34.125157,0
Battle-No change of territory,Egypt,31.1261,33.8019,1
Battle-No change of territory,Egypt,31.117031,34.128342,0
Battle-No change of territory,Egypt,31.117031,34.128342,0
Battle-No change of territory,Egypt,31.13159,33.79844,21
Battle-No change of territory,Egypt,31.13159,33.79844,0
Battle-No change of territory,Egypt,30.017,31.37707,1
Battle-No change of territory,Egypt,29.909599,33.748303,0
Battle-No change of territory,Egypt,31.13159,33.79844,3
Battle-No change of territory,Egypt,23.0833,32.6667,0
Battle-No change of territory,Egypt,31.416477,31.813316,0
Battle-No change of territory,Egypt,31.13159,33.79844,0
Battle-No change of territory,Egypt,31.13159,33.79844,1
Battle-No change of territory,Egypt,31.017606,32.943668,2
Battle-No change of territory,Egypt,31.2878,34.2369,0
Battle-No change of territory,Egypt,31.2878,34.2369,0
Battle-No change of territory,Egypt,31.13159,33.79844,0
Battle-No change of territory,Egypt,30.07708,31.285909,2
Battle-No change of territory,Egypt,31.2878,34.2369,0
Battle-No change of territory,Egypt,28.109884,30.750299,1
Battle-Rebels overtake territory,Egypt,31.1261,33.8019,0
Battle-No change of territory,Equatorial Guinea,3.75,8.78333,1
Battle-No change of territory,Eritrea,15,39,0
Battle-No change of territory,Eritrea,14.725621,37.804738,0
Battle-No change of territory,Ethiopia,7,44,1
Battle-No change of territory,Ethiopia,8.25611,44.15667,0
Battle-No change of territory,Ethiopia,8.456,36.35302,2
Battle-No change of territory,Ethiopia,8,44,1
Battle-No change of territory,Ethiopia,8,44,1
Battle-No change of territory,Ethiopia,8.22056,43.55722,0
Battle-No change of territory,Ethiopia,8,44,3
Battle-No change of territory,Ethiopia,8,35,50
Battle-No change of territory,Ethiopia,7,44,0
Battle-No change of territory,Ethiopia,6.74,44.27806,1
Battle-No change of territory,Ethiopia,8.22056,43.55722,12
Battle-No change of territory,Ethiopia,6.74,44.27806,0
Battle-No change of territory,Ethiopia,12.96667,36.2,0
Battle-No change of territory,Ethiopia,7.85,34.55,0
Battle-No change of territory,Ethiopia,8.2167,43.5667,50
Battle-No change of territory,Ethiopia,9.35,42.8,19
Battle-No change of territory,Ethiopia,8.41667,43.33333,98
Battle-No change of territory,Ethiopia,9,39,7
Battle-No change of territory,Ethiopia,9.03333,38.7,2
Battle-No change of territory,Ethiopia,11.7361,41.0853,3
Battle-No change of territory,Ethiopia,9.05,38.3167,4
Battle-No change of territory,Ethiopia,9.3667,37.9,1
Battle-No change of territory,Ethiopia,9.7833,38.6667,9
Battle-No change of territory,Ethiopia,9.6,37.0833,9
Battle-No change of territory,Ethiopia,8.56667,41.46667,6
Battle-No change of territory,Ethiopia,9.6,37.0833,4
Battle-No change of territory,Ethiopia,9.6,37.0833,1
Battle-No change of territory,Ethiopia,8.1,40.1667,1
Battle-No change of territory,Ethiopia,3.5692,39.0833,4
Battle-No change of territory,Ethiopia,3.5692,39.0833,4
Battle-No change of territory,Ethiopia,3.5692,39.0833,5
Battle-No change of territory,Ethiopia,3.5692,39.0833,5
Battle-No change of territory,Ethiopia,9.31667,37.4,16
Battle-No change of territory,Ethiopia,6.0225,43.13028,2
Battle-No change of territory,Ethiopia,6.74,44.27806,0
Battle-No change of territory,Ethiopia,8,44,55
Battle-No change of territory,Ethiopia,8,44,0
Battle-No change of territory,Ethiopia,9.88333,36.66667,3
Battle-No change of territory,Ethiopia,9.21667,41.1,25
Battle-No change of territory,Ethiopia,9.35,42.8,8
Battle-No change of territory,Ethiopia,9.2333,40.75,1
Battle-No change of territory,Ethiopia,7.2167,42.7,8
Battle-No change of territory,Ethiopia,9.6333,39.4333,16
Battle-No change of territory,Ethiopia,6.74,44.27806,12
Battle-No change of territory,Ethiopia,8.22056,43.55722,18
Battle-No change of territory,Ethiopia,8.067,43.483,10
Battle-No change of territory,Ethiopia,8.22056,43.55722,40
Battle-No change of territory,Ethiopia,9.0333,35.05,6
Battle-No change of territory,Ethiopia,8,44,3
Battle-No change of territory,Ethiopia,12.83333,36.25,2
Battle-No change of territory,Ethiopia,6.8,42.6806,1
Battle-No change of territory,Ethiopia,7.45,42.2333,3
Battle-No change of territory,Ethiopia,8.25611,44.15667,2
Battle-No change of territory,Ethiopia,9.9667,41.3333,2
Battle-No change of territory,Ethiopia,11.73333,37.45,8
Battle-No change of territory,Ethiopia,8.1333,42.3,3
Battle-No change of territory,Ethiopia,6.97444,45.34083,5
Battle-No change of territory,Ethiopia,8.25611,44.15667,9
Battle-No change of territory,Ethiopia,8.22056,43.55722,2
Battle-No change of territory,Ethiopia,9.0333,35.05,2
Battle-No change of territory,Ethiopia,9.62222,43.26944,2
Battle-No change of territory,Ethiopia,6.46028,42.14194,6
Battle-No change of territory,Ethiopia,8.4167,40,1
Battle-No change of territory,Ethiopia,10.35,37.733333,17
Battle-No change of territory,Ethiopia,8.22056,43.55722,13
Battle-No change of territory,Ethiopia,10.85,42.6,1
Battle-No change of territory,Ethiopia,6.74,44.27806,7
Battle-No change of territory,Ethiopia,9.6833,36.4,0
Battle-No change of territory,Ethiopia,9.3667,41.1667,3
Battle-No change of territory,Ethiopia,9.6,37.08333,3
Battle-Rebels overtake territory,Ethiopia,8.22056,43.55722,0
Battle-Rebels overtake territory,Ethiopia,8,44,0
Battle-No change of territory,Ghana,10.63195,-0.18191,3
Battle-No change of territory,Ghana,10.75,-0.75,4
Battle-No change of territory,Ghana,5.5,-1,2
Battle-No change of territory,Ghana,5.5,-1,0
Battle-No change of territory,Ghana,10.1848,-0.12315,0
Battle-No change of territory,Ghana,10.78333,-0.88333,0
Battle-No change of territory,Ghana,6.0984,0.12588,0
Battle-No change of territory,Ghana,9.400785,-0.839296,0
Battle-No change of territory,Ghana,5.343571,-0.622963,0
Battle-No change of territory,Ghana,11.0616,-0.24168,0
Battle-No change of territory,Ghana,10.98779,-0.34812,0
Battle-No change of territory,Guinea,9.5091,-13.7122,0
Battle-No change of territory,Guinea,8.75,-10.3,2
Battle-No change of territory,Guinea,8.75,-10.3,3
Battle-No change of territory,Guinea-Bissau,11.84,-15.29767,6
Battle-No change of territory,Ivory Coast,5.519444,-7.3275,17
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,5
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,3
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,5
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,5
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,7
Battle-No change of territory,Ivory Coast,5.890616,-4.194041,0
Battle-No change of territory,Ivory Coast,6.579742,-8.410906,0
Battle-No change of territory,Ivory Coast,5.3206,-4.376853,3
Battle-No change of territory,Ivory Coast,5.3206,-4.376853,0
Battle-No change of territory,Ivory Coast,5.3206,-4.376853,0
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,0
Battle-No change of territory,Ivory Coast,5.3206,-4.376853,5
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,0
Battle-No change of territory,Ivory Coast,5.327674,-4.771038,6
Battle-No change of territory,Ivory Coast,5.292118,-2.790484,4
Battle-No change of territory,Ivory Coast,5.2728,-3.5927,0
Battle-No change of territory,Ivory Coast,5.2728,-3.5927,0
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,0
Battle-No change of territory,Ivory Coast,5.418333,-4.019722,5
Battle-No change of territory,Ivory Coast,5.475,-3.764167,1
Battle-No change of territory,Ivory Coast,6.651667,-4.203889,0
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,0
Battle-No change of territory,Ivory Coast,5.93417,-4.22139,2
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,1
Battle-No change of territory,Ivory Coast,5.2853,-3.8994,0
Battle-No change of territory,Ivory Coast,5.66916,-4.57027,1
Battle-No change of territory,Ivory Coast,5.34111,-4.02809,0
Battle-No change of territory,Ivory Coast,5.66916,-4.57027,1
Battle-No change of territory,Kenya,0.6333,36.2667,0
Battle-No change of territory,Kenya,-1.96667,41.29607,3
Battle-No change of territory,Kenya,3.51639,39.06917,6
Battle-No change of territory,Kenya,1,40.25,3
Battle-No change of territory,Kenya,1.75,40.06,3
Battle-No change of territory,Kenya,-1.3,36.81667,0
Battle-No change of territory,Kenya,3.51639,39.06917,5
Battle-No change of territory,Kenya,3.51639,39.06917,0
Battle-No change of territory,Kenya,3.51639,39.06917,0
Battle-No change of territory,Kenya,-4.05,39.66667,0
Battle-No change of territory,Kenya,3.51639,39.06917,2
Battle-No change of territory,Kenya,3.9333,41.8667,0
Battle-No change of territory,Kenya,1.16922,36.09549,1
Battle-No change of territory,Kenya,3.11667,35.6,0
Battle-No change of territory,Kenya,-0.42094,40.22005,1
Battle-No change of territory,Kenya,0.0833,34.0667,0
Battle-No change of territory,Kenya,-0.15,35.2,0
Battle-No change of territory,Kenya,-0.11979,35.40049,0
Battle-No change of territory,Kenya,0.0833,34.0667,0
Battle-No change of territory,Kenya,-0.15,35.2,0
Battle-No change of territory,Kenya,-0.11979,35.40049,0
Battle-No change of territory,Kenya,0.0833,34.0667,0
Battle-No change of territory,Kenya,-0.15,35.2,0
Battle-No change of territory,Kenya,-0.11979,35.40049,0
Battle-No change of territory,Kenya,0.0833,34.0667,5
Battle-No change of territory,Kenya,-0.15,35.2,0
Battle-No change of territory,Kenya,-0.11979,35.40049,0
Battle-No change of territory,Kenya,3.9333,41.8667,0
Battle-No change of territory,Kenya,3.9333,41.8667,2
Battle-No change of territory,Kenya,-3.81047,39.63786,0
Battle-No change of territory,Kenya,3.1167,35.6,1
Battle-No change of territory,Kenya,-3.22,40.12,0
Battle-No change of territory,Kenya,-3.3833,38.5667,1
Battle-No change of territory,Kenya,4.53333,35.93333,2
Battle-No change of territory,Kenya,3.9333,41.8667,0
Battle-No change of territory,Kenya,-1.4167,34.9167,0
Battle-No change of territory,Kenya,0.40167,40.95167,0
Battle-No change of territory,Kenya,0.16667,34.26667,2
Battle-No change of territory,Kenya,0.783333,34.383333,0
Battle-No change of territory,Kenya,3.9333,41.8667,0
Battle-No change of territory,Kenya,3.5254,41.4991,0
Battle-No change of territory,Kenya,3.52541,41.49908,0
Battle-No change of territory,Kenya,3.9261,41.846,0
Battle-No change of territory,Kenya,3.5254,41.4991,1
Battle-No change of territory,Kenya,0.4017,40.9517,1
Battle-No change of territory,Kenya,3.9039,40.3322,3
Battle-No change of territory,Kenya,3.9039,40.3322,3
Battle-No change of territory,Kenya,-2.28,40.903333,3
Battle-No change of territory,Kenya,0.21667,34.3,0
Battle-No change of territory,Kenya,1.75,40.06,0
Battle-No change of territory,Kenya,-4.03333,39.68333,1
Battle-No change of territory,Kenya,-4.01999,39.69473,3
Battle-No change of territory,Kenya,-4.05,39.66667,1
Battle-No change of territory,Kenya,-2.50974,40.29766,0
Battle-No change of territory,Kenya,-2.47791,40.46619,9
Battle-No change of territory,Kenya,-3.91667,39.43333,1
Battle-No change of territory,Kenya,3.9333,41.8667,0
Battle-No change of territory,Kenya,-0.45694,39.65833,0
Battle-No change of territory,Kenya,-1.28333,36.93333,2
Battle-No change of territory,Kenya,-3.81667,39.63333,11
Battle-No change of territory,Kenya,-3.61692,39.28692,4
Battle-No change of territory,Kenya,-0.45694,39.65833,2
Battle-No change of territory,Kenya,-0.45694,39.65833,2
Battle-No change of territory,Kenya,-3.91667,39.75,3
Battle-No change of territory,Kenya,-4.1999,39.58111,2
Battle-No change of territory,Kenya,-4.08333,39.65,4
Battle-No change of territory,Kenya,-0.45694,39.65833,0
Battle-No change of territory,Kenya,-3.81047,39.63786,0
Battle-No change of territory,Kenya,0.01583,40.37722,1
Battle-No change of territory,Kenya,-4.048611,39.670556,2
Battle-No change of territory,Kenya,-0.45694,39.65833,1
Battle-No change of territory,Kenya,3.9333,41.8667,1
Battle-No change of territory,Kenya,3.9333,41.8667,2
Battle-No change of territory,Kenya,1.25,37,12
Battle-No change of territory,Kenya,3.9333,41.8667,2
Battle-No change of territory,Kenya,2.16667,36.51667,42
Battle-No change of territory,Kenya,2.16667,36.51667,0
Battle-No change of territory,Kenya,-0.45694,39.65833,2
Battle-No change of territory,Kenya,-1.3,36.85,0
Battle-No change of territory,Kenya,-1.3,36.85,0
Battle-No change of territory,Kenya,-0.45694,39.65833,3
Battle-No change of territory,Kenya,-1.3,36.85,0
Battle-No change of territory,Kenya,1.08333,38.03333,0
Battle-No change of territory,Kenya,-4.03333,39.68333,0
Battle-No change of territory,Kenya,-0.45694,39.65833,1
Battle-No change of territory,Kenya,-3.85,39.63333,3
Battle-No change of territory,Kenya,-1.16667,34.45,1
Battle-No change of territory,Kenya,3.9333,41.8667,1
Battle-No change of territory,Lesotho,-29.6331,27.3369,2
Battle-No change of territory,Liberia,5.33333,-8.66667,0
Battle-Government regains territory,Libya,32.672327,13.147888,0
Battle-Government regains territory,Libya,31.756619,13.994219,0
Battle-No change of territory,Libya,32.87519,13.18748,6
Battle-No change of territory,Libya,32.17222,13.02028,0
Battle-No change of territory,Libya,32.17222,13.02028,2
Battle-No change of territory,Libya,32.17222,13.02028,0
Battle-No change of territory,Libya,32.87519,13.18748,0
Battle-No change of territory,Libya,31.75662,13.99422,4
Battle-No change of territory,Libya,32.11667,20.06667,0
Battle-No change of territory,Libya,32.87519,13.18748,0
Battle-No change of territory,Libya,32.87519,13.18748,0
Battle-No change of territory,Libya,31.20892,16.58866,1
Battle-No change of territory,Libya,24.18,23.28,0
Battle-No change of territory,Libya,24.18,23.28,11
Battle-No change of territory,Libya,24.18,23.28,6
Battle-No change of territory,Libya,24.18,23.28,5
Battle-No change of territory,Libya,31.20892,16.58866,0
Battle-No change of territory,Libya,24.18,23.28,5
Battle-No change of territory,Libya,32.76704,22.63669,1
Battle-No change of territory,Libya,27.03766,14.42832,20
Battle-No change of territory,Libya,27.03766,14.42832,10
Battle-No change of territory,Libya,27.03766,14.42832,40
Battle-No change of territory,Libya,27.03766,14.42832,8
Battle-No change of territory,Libya,27.03766,14.42832,16
Battle-No change of territory,Libya,32.85286,12.0612,0
Battle-No change of territory,Libya,32.88718,11.98729,0
Battle-No change of territory,Libya,32.9312,12.08199,19
Battle-No change of territory,Libya,32.85286,12.0612,0
Battle-No change of territory,Libya,32.88718,11.98729,0
Battle-No change of territory,Libya,32.9312,12.08199,0
Battle-No change of territory,Libya,32.85286,12.0612,0
Battle-No change of territory,Libya,32.88718,11.98729,0
Battle-No change of territory,Libya,24.18,23.28,2
Battle-No change of territory,Libya,24.18,23.28,0
Battle-No change of territory,Libya,24.18,23.28,0
Battle-No change of territory,Libya,32.88167,13.35056,1
Battle-No change of territory,Libya,33.148008,11.563475,0
Battle-No change of territory,Libya,32.032527,20.062709,1
Battle-No change of territory,Libya,24.16667,23.25,5
Battle-No change of territory,Libya,31.444262,12.98172,19
Battle-No change of territory,Libya,24.16667,23.25,2
Battle-No change of territory,Libya,27.033441,14.432087,3
Battle-No change of territory,Libya,32.876055,13.187628,0
Battle-No change of territory,Libya,31.930712,12.24894,12
Battle-No change of territory,Libya,31.783341,13.244362,0
Battle-No change of territory,Libya,32.754942,13.142738,1
Battle-No change of territory,Libya,31.444921,12.982986,0
Battle-No change of territory,Libya,30.46666,13,17
Battle-No change of territory,Libya,32.159338,13.009186,30
Battle-No change of territory,Libya,32.159338,13.009186,62
Battle-No change of territory,Libya,23.32082,21.8573,6
Battle-No change of territory,Libya,23.32082,21.8573,1
Battle-No change of territory,Libya,32.87296,13.18531,1
Battle-No change of territory,Libya,23.32082,21.8573,47
Battle-No change of territory,Libya,33.1479,11.566501,0
Battle-No change of territory,Libya,32.069483,20.135193,1
Battle-No change of territory,Libya,32.11573,20.068588,0
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,32.53194,13.0175,3
Battle-No change of territory,Libya,32.87519,13.18748,1
Battle-No change of territory,Libya,32.531944,13.0175,3
Battle-No change of territory,Libya,32.435015,13.633198,1
Battle-No change of territory,Libya,32.46738,14.56874,12
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,32.071509,20.341707,3
Battle-No change of territory,Libya,32.116667,20.066667,6
Battle-No change of territory,Libya,32.87519,13.18748,0
Battle-No change of territory,Libya,24.166667,23.269618,1
Battle-No change of territory,Libya,31.796845,14.743716,1
Battle-No change of territory,Libya,31.796845,14.743716,1
Battle-No change of territory,Libya,32.897948,21.963995,3
Battle-No change of territory,Libya,31.796845,14.743716,0
Battle-No change of territory,Libya,31.796845,14.743716,3
Battle-No change of territory,Libya,31.796845,14.743716,1
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,31.756619,13.994219,11
Battle-No change of territory,Libya,31.756619,13.994219,4
Battle-No change of territory,Libya,31.796845,14.743716,2
Battle-No change of territory,Libya,32.8925,13.18,0
Battle-No change of territory,Libya,31.796845,14.743716,26
Battle-No change of territory,Libya,31.796845,14.743716,3
Battle-No change of territory,Libya,31.796845,14.743716,3
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,32.877416,13.181443,0
Battle-No change of territory,Libya,32.621088,14.236361,0
Battle-No change of territory,Libya,32.109596,20.073266,0
Battle-No change of territory,Libya,32.587162,14.346945,1
Battle-No change of territory,Libya,24.18,23.28,1
Battle-No change of territory,Libya,32.648613,14.261909,0
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,31.756619,13.994219,2
Battle-No change of territory,Libya,31.756619,13.994219,2
Battle-No change of territory,Libya,32.116667,20.066667,4
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,32.116667,20.066667,0
Battle-No change of territory,Libya,32.0636,20.045809,0
Battle-No change of territory,Libya,24.18,23.28,0
Battle-No change of territory,Libya,26.55,13.083333,2
Battle-Rebels overtake territory,Libya,31.75662,13.99422,0
Battle-Rebels overtake territory,Libya,32.672327,13.147888,0
Battle-Rebels overtake territory,Libya,24.16667,23.25,18
Battle-No change of territory,Malawi,-13.96692,33.78725,0
Battle-No change of territory,Malawi,-13.77008,33.81678,0
Battle-Government regains territory,Mali,15.9182,2.4022,0
Battle-No change of territory,Mali,15.9182,2.4022,11
Battle-No change of territory,Mali,15.9182,2.4022,0
Battle-No change of territory,Mali,19.46139,0.85889,24
Battle-No change of territory,Mali,20.1986,1.01139,25
Battle-No change of territory,Mali,15.931,-3.99,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,16.7667,-3.0167,10
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,16.7667,-3.0167,10
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,20.1986,1.01139,50
Battle-No change of territory,Mali,20.1986,1.01139,50
Battle-No change of territory,Mali,20.1986,1.01139,0
Battle-No change of territory,Mali,14.45722,-4.91669,0
Battle-No change of territory,Mali,20.1986,1.01139,0
Battle-No change of territory,Mali,20.1986,1.01139,0
Battle-No change of territory,Mali,20.1986,1.01139,0
Battle-No change of territory,Mali,16.7667,-3.0167,2
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,16.266667,-0.05,2
Battle-No change of territory,Mali,16.7667,-3.0167,0
Battle-No change of territory,Mali,12.65,-8,0
Battle-No change of territory,Mali,12.65,-8,27
Battle-No change of territory,Mali,12.532445,-7.950668,0
Battle-No change of territory,Mali,12.748186,-8.072205,0
Battle-No change of territory,Mali,12.65,-8,0
Battle-No change of territory,Mali,16.266667,-0.05,0
Battle-No change of territory,Mali,14.4075,-2.349,8
Battle-No change of territory,Mali,14.4075,-2.349,8
Battle-No change of territory,Mali,14.4075,-2.349,9
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,16.7667,-3.0167,0
Battle-No change of territory,Mali,18.44,1.41,0
Battle-No change of territory,Mali,16.7667,-3.0167,0
Battle-No change of territory,Mali,16.7667,-3.0167,0
Battle-No change of territory,Mali,16.266667,-0.05,1
Battle-No change of territory,Mali,12.65,-8,1
Battle-No change of territory,Mali,15.66,0.5,4
Battle-No change of territory,Mali,16.96,-0.35,3
Battle-No change of territory,Mali,12.65,-8,0
Battle-No change of territory,Mali,16.266667,-0.05,8
Battle-No change of territory,Mali,16.7667,-3.0167,2
Battle-No change of territory,Mali,16.266667,-0.05,13
Battle-Rebels overtake territory,Mali,19.46139,0.85889,0
Battle-Rebels overtake territory,Mali,15.4275,3.0175,0
