OBJECTID,ISO,u5pop.mean,imr.mean.10000,imr.perc.mean,uw.count.sum,uw.perc.mean
963,DZA,7791.918281,510,0.051,109.520009,0.047
964,DZA,5587.561406,371.0071147,0.037100711,86.80302828,0.058075405
965,DZA,4673.920466,510,0.051,31.57161723,0.047
966,DZA,4675.329218,510,0.051,24.52355629,0.047
967,DZA,4410.599828,370,0.037,43.66130676,0.048080818
968,DZA,14858.50977,370,0.037,59.39669122,0.046
969,DZA,13998.15039,324,0.0324,51.45017377,0.041
970,DZA,9054.960886,300,0.03,68.74345135,0.038
971,DZA,7575.459961,370,0.037,28.53577034,0.046
972,DZA,14328.43429,300,0.03,100.6785067,0.038
973,DZA,12924.74303,300,0.03,64.10260088,0.038
974,DZA,12659.5073,300,0.03,93.95251069,0.038
975,DZA,15237.50054,357.2278855,0.035722789,65.48102029,0.04451899
976,DZA,5914.983601,275.3814085,0.027538141,69.40609245,0.045
977,DZA,19816.77829,300,0.03,50.10855129,0.038
978,DZA,10502.35686,370,0.037,60.5090941,0.046
979,DZA,12317.15932,370,0.037,165.7927717,0.046
980,DZA,21863.74268,300,0.03,83.78946456,0.038
981,DZA,64791.91364,300,0.03,87.20045262,0.038
982,DZA,122996.8866,300,0.03,163.5069112,0.038
983,DZA,13619.87606,300,0.03,18.39142915,0.038
984,DZA,31709.9806,300,0.03,87.47860952,0.038
985,DZA,15481.03846,300,0.03,37.89728649,0.038
986,DZA,3267.884653,230.0251791,0.023002518,31.66658551,0.045
987,DZA,9948.764427,300,0.03,106.9942189,0.038
988,DZA,16189.25802,370,0.037,178.3683446,0.046
989,DZA,12991.37259,300,0.03,47.10233307,0.038
990,DZA,9842.415353,300,0.03,50.56804101,0.038
991,DZA,14523.3198,370,0.037,127.4049406,0.046
992,DZA,5759.033589,370,0.037,58.90325893,0.046
993,DZA,24900.26953,300,0.03,31.81090559,0.038
994,DZA,8697.166773,360.2824023,0.03602824,129.8265481,0.046
995,DZA,22755.07031,300,0.03,88.48806834,0.038
996,DZA,13812.49715,370,0.037,128.1589864,0.046
997,DZA,22806.90484,300,0.03,106.8856207,0.038
998,DZA,24900.26953,300,0.03,20.87736167,0.038
999,DZA,136744.1965,300,0.03,129.7589348,0.038
1000,DZA,13846.2675,370,0.037,68.56790026,0.046
1001,DZA,12950.37988,300,0.03,47.04321585,0.038
1002,DZA,11083.91333,300,0.03,92.42697527,0.038
1003,DZA,17371.57153,300,0.03,106.4813471,0.038
1004,DZA,7092.632193,370,0.037,81.34942609,0.046
1005,DZA,9130.754805,332.3258108,0.033232581,86.99218174,0.039311304
1006,DZA,10146.44555,300.8822285,0.030088223,75.08827165,0.038100826
1007,DZA,11738.3506,323.3869476,0.032338695,91.08822915,0.040550396
1008,DZA,6905.303597,300,0.03,88.18316637,0.038
1009,DZA,11575.58739,370,0.037,163.9086983,0.046
1010,DZA,14367.43723,368.9437355,0.036894374,133.420222,0.045788747
1011,DZA,6397.605855,370,0.037,104.5983181,0.046
1012,DZA,10390.29832,424.4874386,0.042448744,63.38165577,0.043361168
1013,DZA,9303.336712,370,0.037,96.49392268,0.046
1014,DZA,8023.88934,370,0.037,66.96981235,0.046
1015,DZA,12026.67969,370,0.037,78.55190912,0.046
1016,DZA,10152.83008,370,0.037,133.845927,0.046
1017,DZA,6101.332933,293.5719404,0.029357194,129.8094574,0.04519773
1018,DZA,16791.97374,370,0.037,266.8612121,0.046
1019,DZA,6112.26709,280,0.028,39.30425942,0.045
1020,DZA,11536.01057,370,0.037,217.0854613,0.046
1021,DZA,17410.33687,300,0.03,58.77184129,0.038
1022,DZA,19899.99904,300,0.03,47.38549678,0.038
1023,DZA,19260.96045,300,0.03,48.5599272,0.038
1024,DZA,17920.73869,305.1424048,0.03051424,46.47375498,0.038642801
1025,DZA,14351.32036,328.7310128,0.032873101,89.65076037,0.041561893
1026,DZA,6468.574907,300,0.03,12.22571497,0.038
1027,DZA,17100.28954,300,0.03,83.45976859,0.038
1028,DZA,7617.99393,300,0.03,36.46349044,0.038
1029,DZA,21677.25413,300,0.03,35.47687807,0.038
1030,DZA,9934.51733,300,0.03,41.46240455,0.038
1031,DZA,14530.39323,370,0.037,171.4106789,0.046
1032,DZA,12780.31172,300,0.03,78.9272069,0.038
1033,DZA,11440.51649,313.0787145,0.031307871,153.4965981,0.038568394
1034,DZA,8028.981776,300,0.03,119.2903664,0.038
1035,DZA,9829.236328,300,0.03,104.3511301,0.038
1036,DZA,13287.83057,507.3915633,0.050739156,80.1723237,0.047
1037,DZA,11126.88965,300,0.03,69.32164428,0.038
1038,DZA,4671.549805,510,0.051,32.62540391,0.047
1039,DZA,3579.86792,370,0.037,44.641903,0.046
1040,DZA,2520.231567,504,0.0504,516.6053009,0.052
1041,DZA,2459.079468,370,0.037,226.2353058,0.046
1042,DZA,2215.264038,335,0.0335,189.4378052,0.042
1043,DZA,8193.702551,510,0.051,93.76664562,0.047
1044,DZA,3766.018304,374.3355271,0.037433553,119.4115246,0.094134877
1045,DZA,6612.868354,510,0.051,42.96166632,0.047
1046,DZA,3579.86792,370,0.037,46.60662345,0.046
1047,DZA,4671.549805,510,0.051,21.10713749,0.047
1048,DZA,4872.324594,372.3175949,0.037231759,178.2472851,0.067859744
1049,DZA,4757.578004,370.2530574,0.037025306,91.7732648,0.05214615
1050,DZA,6407.132813,510,0.051,24.14088228,0.047
1051,DZA,1792.730042,300,0.03,136.2474747,0.038
1052,DZA,3005.521606,327.5,0.03275,308.7937012,0.0515
1053,DZA,7047.141113,510,0.051,33.14466353,0.047
1054,DZA,2661.433257,370,0.037,180.7763552,0.046
1055,DZA,4439.984792,510,0.051,102.5117988,0.047
1056,DZA,117.7259415,380,0.038,89.47172928,0.152
1057,DZA,117.3084412,380,0.038,178.3087807,0.152
1058,DZA,117.9676261,380,0.038,286.8973389,0.152
1059,DZA,117.8328252,380,0.038,286.5693989,0.152
1060,DZA,832.0033875,380,0.038,252.9291,0.152
1061,DZA,214.3617554,380,0.038,65.16597176,0.152
1062,DZA,173.6447428,380,0.038,34.10363894,0.152
1063,DZA,860.4768372,380,0.038,261.5850067,0.152
1064,DZA,860.1099282,379.9720115,0.037997201,140.7491156,0.151981747
1065,DZA,12589.29004,300,0.03,89.32253229,0.038
1066,DZA,19842.4775,300,0.03,156.2641989,0.038
1067,DZA,8191.971191,370,0.037,58.18053486,0.046
1068,DZA,8191.971191,370,0.037,22.83150071,0.046
1069,DZA,21785.09961,300,0.03,189.942369,0.038
1070,DZA,14592.98047,300,0.03,27.36784433,0.038
1071,DZA,7531.652966,365.3945546,0.036539455,75.3380502,0.045427431
1072,DZA,11453.45996,370,0.037,75.33612724,0.046
1073,DZA,13897.83299,370,0.037,79.47634274,0.046
1074,DZA,14480.13533,370,0.037,139.7567741,0.046
1075,DZA,11250.93498,300,0.03,25.93382594,0.038
1076,DZA,6731.962891,300,0.03,16.23090622,0.038
1077,DZA,13945.85009,370,0.037,265.8025029,0.046
1078,DZA,9829.236328,300,0.03,73.11066894,0.038
1079,DZA,10123.10441,300,0.03,47.18065842,0.038
1080,DZA,7332.363496,368.572534,0.036857253,58.85551654,0.046
1081,DZA,4909.762711,370,0.037,94.45627141,0.046
1082,DZA,5935.811035,370,0.037,33.24639285,0.046
1083,DZA,27902.86249,510,0.051,143.7382773,0.047
1084,DZA,11670.2255,300,0.03,51.26872697,0.038
1085,DZA,7596.337851,369.9999222,0.036999992,79.66051026,0.046
1086,DZA,12126.87988,300,0.03,54.19518496,0.038
1087,DZA,12589.29004,300,0.03,53.57970563,0.038
1088,DZA,18025.14238,300,0.03,112.1014063,0.038
1089,DZA,8814.932912,300,0.03,26.91311298,0.038
1090,DZA,8111.21566,300,0.03,49.15837425,0.038
1091,DZA,9138.488963,300,0.03,28.80499216,0.038
1092,DZA,12844.68284,300,0.03,111.239351,0.038
1093,DZA,7681.194855,474.2520047,0.0474252,37.40186134,0.0457605
1094,DZA,14748.39924,300,0.03,84.80089416,0.038
1095,DZA,23024.70427,370,0.037,167.4167687,0.046
1096,DZA,16300.00512,300,0.03,93.92688436,0.038
1097,DZA,11975.5173,370,0.037,84.09201215,0.046
1098,DZA,18532.05745,300,0.03,92.15107197,0.038
1099,DZA,59482.7903,300,0.03,134.2453834,0.038
1100,DZA,20491.68545,300,0.03,70.49686091,0.038
1101,DZA,59821.85246,300,0.03,98.96630564,0.038
1102,DZA,14255.95323,304.0654561,0.030406546,65.28069908,0.038580779
1103,DZA,7713.427563,429.6656597,0.042966566,65.06219532,0.043597079
1104,DZA,6577.019756,370,0.037,109.7581166,0.046
1105,DZA,9188.276525,501.0383038,0.05010383,66.79828605,0.046618651
1106,DZA,6574.718716,370,0.037,167.681512,0.046
1107,DZA,7735.043948,510,0.051,21.45298612,0.047
1108,DZA,5626.89616,510,0.051,33.5719617,0.047
1109,DZA,2120.422097,341.4373106,0.034143731,74.68368683,0.042584568
1110,DZA,4674.146125,510,0.051,32.75326244,0.047
1111,DZA,4671.549805,510,0.051,11.93959777,0.047
1112,DZA,11365.82533,318.2565401,0.031825654,75.78898864,0.04014225
1113,DZA,9321.09747,495.4701571,0.049547016,83.62024404,0.046498971
1114,DZA,11289.08984,317,0.0317,50.96172382,0.04
1115,DZA,9690.686674,471.8925808,0.047189258,52.37434558,0.045604025
1116,DZA,25192.18125,510,0.051,125.4539768,0.047
1117,DZA,28403.98634,510,0.051,137.4678231,0.047
1118,DZA,3407.574105,370,0.037,44.9788769,0.046
1119,DZA,29078.76427,510,0.051,101.3973429,0.047
1120,DZA,4441.869607,367.2713989,0.03672714,48.63246064,0.045935456
1121,DZA,3038.180525,326.5890446,0.032658904,84.72076612,0.049069461
1122,DZA,8758.558402,370,0.037,110.4698238,0.046
1123,DZA,4304.802989,370,0.037,65.22942116,0.046
1124,DZA,5851.625484,370,0.037,50.11285786,0.046
1125,DZA,13391.92425,510,0.051,142.0740083,0.047
1126,DZA,21543.96378,510,0.051,90.9112366,0.047
1127,DZA,12007.37424,370,0.037,104.0024025,0.046
1128,DZA,3114.187988,370,0.037,15.98202212,0.046
1129,DZA,3778.248389,266.4331923,0.026643319,18.91703731,0.033124127
1130,DZA,8129.607096,370,0.037,65.05947867,0.046
1131,DZA,14682.30957,300,0.03,57.00568453,0.038
1132,DZA,5863.161601,370,0.037,88.51946709,0.046
1133,DZA,7807.516113,370,0.037,29.62279219,0.046
1134,DZA,8500.997312,370,0.037,70.96146154,0.046
1135,DZA,6112.26709,280,0.028,20.90564829,0.045
1136,DZA,11225.77892,304.956272,0.030495627,36.89291255,0.038115912
1137,DZA,140315.0484,300,0.03,252.4254904,0.038
1138,DZA,14592.98047,300,0.03,29.7525232,0.038
1139,DZA,17520.57031,300,0.03,73.18323636,0.038
1140,DZA,10012.08219,300,0.03,121.1025733,0.038
1141,DZA,10523.57031,416,0.0416,58.14853246,0.043
1142,DZA,14575.62988,504,0.0504,57.44245843,0.047
1143,DZA,7341.578753,370,0.037,171.502301,0.046
1144,DZA,6922.710143,370,0.037,71.06316518,0.046
1145,DZA,10340.54357,300,0.03,78.34294954,0.038
1146,DZA,10228.07052,300,0.03,51.16991108,0.038
1147,DZA,10523.57031,416,0.0416,39.28574063,0.043
1148,DZA,6921.846013,370,0.037,68.09260686,0.046
1149,DZA,9408.521581,300,0.03,44.41318312,0.038
1150,DZA,10645.57366,350.7548649,0.035075486,150.0886613,0.043607362
1151,DZA,7058.610855,370,0.037,25.30182755,0.046
1152,DZA,7257.580716,370,0.037,22.70968222,0.046
1153,DZA,27161.86784,370,0.037,279.8708445,0.046
1154,DZA,16451.05803,370,0.037,154.0960748,0.046
1155,DZA,25673.27492,370,0.037,456.1848258,0.046
1156,DZA,10152.83008,370,0.037,64.38964584,0.046
1157,DZA,3578.49622,370,0.037,5.922405193,0.046
1158,DZA,7049.652996,370,0.037,25.62870256,0.046
1159,DZA,14682.30957,300,0.03,46.53273696,0.038
1160,DZA,16402.32725,370,0.037,84.33134828,0.046
1161,DZA,8555.573844,370,0.037,35.29309637,0.046
1162,DZA,12790.92827,300,0.03,99.83571752,0.038
1163,DZA,14741.95561,300,0.03,60.69039357,0.038
1164,DZA,7703.870117,370,0.037,28.31044817,0.046
1165,DZA,14972.59631,300,0.03,54.86826845,0.038
1166,DZA,14727.4502,300,0.03,48.53539969,0.038
1167,DZA,14702.34936,300,0.03,64.9020627,0.038
1168,DZA,10753.35777,370,0.037,115.2657511,0.046
1169,DZA,14727.4502,300,0.03,34.76377582,0.038
1170,DZA,6281.552779,300,0.03,70.52198236,0.038
1171,DZA,8574.083228,300,0.03,45.03508236,0.038
1172,DZA,7130.61592,370,0.037,49.0904529,0.046
1173,DZA,7886.855257,370,0.037,62.1324228,0.046
1174,DZA,7953.808953,370,0.037,67.13310032,0.046
1175,DZA,20252.7187,370,0.037,271.3020211,0.046
1176,DZA,9370.760143,300,0.03,95.83408943,0.038
1177,DZA,12026.67969,370,0.037,62.65497972,0.046
1178,DZA,14682.30957,300,0.03,17.51927868,0.038
1179,DZA,12017.1319,370,0.037,38.22019865,0.046
1180,DZA,15344.66992,300,0.03,61.7384271,0.038
1181,DZA,9183.942351,370,0.037,25.00354923,0.046
1182,DZA,6585.322141,223.0255261,0.022302553,23.93229861,0.045
1183,DZA,6152.182693,275.1925881,0.027519259,43.52855267,0.045
1184,DZA,13476.05335,300,0.03,73.82008148,0.038
1185,DZA,6568.707702,355.5480565,0.035554806,74.47783114,0.045826646
1186,DZA,6317.957979,331.5610199,0.033156102,53.75380855,0.045547786
1187,DZA,7840.643066,370,0.037,35.86169528,0.046
