OBJECTID,ISO,NAME,BATTLES,SUMfat,MEANfat
920,DZA,Algeria,0,0,0
921,DZA,Algeria,0,0,0
922,DZA,Algeria,0,0,0
923,DZA,Algeria,0,0,0
924,DZA,Algeria,0,0,0
925,DZA,Algeria,0,0,0
926,DZA,Algeria,0,0,0
927,DZA,Algeria,0,0,0
928,DZA,Algeria,0,0,0
929,DZA,Algeria,0,0,0
930,DZA,Algeria,0,0,0
931,DZA,Algeria,0,0,0
932,DZA,Algeria,0,0,0
933,DZA,Algeria,0,0,0
934,DZA,Algeria,0,0,0
935,DZA,Algeria,0,0,0
936,DZA,Algeria,0,0,0
937,DZA,Algeria,0,0,0
938,DZA,Algeria,0,0,0
939,DZA,Algeria,0,0,0
940,DZA,Algeria,0,0,0
941,DZA,Algeria,0,0,0
942,DZA,Algeria,0,0,0
943,DZA,Algeria,0,0,0
944,DZA,Algeria,0,0,0
945,DZA,Algeria,0,0,0
946,DZA,Algeria,2,9,4.5
947,DZA,Algeria,2,0,0
948,DZA,Algeria,0,0,0
949,DZA,Algeria,0,0,0
950,DZA,Algeria,0,0,0
951,DZA,Algeria,1,11,11
952,DZA,Algeria,0,0,0
953,DZA,Algeria,0,0,0
954,DZA,Algeria,0,0,0
955,DZA,Algeria,0,0,0
956,DZA,Algeria,0,0,0
957,DZA,Algeria,1,2,2
958,DZA,Algeria,0,0,0
959,DZA,Algeria,0,0,0
960,DZA,Algeria,0,0,0
961,DZA,Algeria,0,0,0
962,DZA,Algeria,0,0,0
963,DZA,Algeria,0,0,0
964,DZA,Algeria,0,0,0
965,DZA,Algeria,0,0,0
966,DZA,Algeria,0,0,0
967,DZA,Algeria,0,0,0
968,DZA,Algeria,0,0,0
969,DZA,Algeria,0,0,0
970,DZA,Algeria,0,0,0
971,DZA,Algeria,0,0,0
972,DZA,Algeria,2,1,0.5
973,DZA,Algeria,0,0,0
974,DZA,Algeria,0,0,0
975,DZA,Algeria,0,0,0
976,DZA,Algeria,0,0,0
977,DZA,Algeria,0,0,0
978,DZA,Algeria,0,0,0
979,DZA,Algeria,0,0,0
980,DZA,Algeria,0,0,0
981,DZA,Algeria,0,0,0
982,DZA,Algeria,0,0,0
983,DZA,Algeria,0,0,0
984,DZA,Algeria,1,7,7
985,DZA,Algeria,0,0,0
986,DZA,Algeria,0,0,0
987,DZA,Algeria,0,0,0
988,DZA,Algeria,0,0,0
989,DZA,Algeria,0,0,0
990,DZA,Algeria,0,0,0
991,DZA,Algeria,0,0,0
992,DZA,Algeria,0,0,0
993,DZA,Algeria,0,0,0
994,DZA,Algeria,0,0,0
995,DZA,Algeria,0,0,0
996,DZA,Algeria,0,0,0
997,DZA,Algeria,0,0,0
998,DZA,Algeria,0,0,0
999,DZA,Algeria,0,0,0
1000,DZA,Algeria,0,0,0
1001,DZA,Algeria,0,0,0
1002,DZA,Algeria,0,0,0
1003,DZA,Algeria,0,0,0
1004,DZA,Algeria,0,0,0
1005,DZA,Algeria,0,0,0
1006,DZA,Algeria,0,0,0
1007,DZA,Algeria,0,0,0
1008,DZA,Algeria,0,0,0
1009,DZA,Algeria,0,0,0
1010,DZA,Algeria,0,0,0
1011,DZA,Algeria,0,0,0
1012,DZA,Algeria,0,0,0
1013,DZA,Algeria,0,0,0
1014,DZA,Algeria,0,0,0
1015,DZA,Algeria,0,0,0
1016,DZA,Algeria,0,0,0
1017,DZA,Algeria,0,0,0
1018,DZA,Algeria,0,0,0
1019,DZA,Algeria,0,0,0
1020,DZA,Algeria,1,4,4
1021,DZA,Algeria,0,0,0
1022,DZA,Algeria,0,0,0
1023,DZA,Algeria,0,0,0
1024,DZA,Algeria,0,0,0
1025,DZA,Algeria,0,0,0
1026,DZA,Algeria,0,0,0
1027,DZA,Algeria,0,0,0
1028,DZA,Algeria,0,0,0
1029,DZA,Algeria,0,0,0
1030,DZA,Algeria,0,0,0
1031,DZA,Algeria,0,0,0
1032,DZA,Algeria,0,0,0
1033,DZA,Algeria,0,0,0
1034,DZA,Algeria,0,0,0
1035,DZA,Algeria,0,0,0
1036,DZA,Algeria,0,0,0
1037,DZA,Algeria,0,0,0
1038,DZA,Algeria,0,0,0
1039,DZA,Algeria,0,0,0
1040,DZA,Algeria,0,0,0
1041,DZA,Algeria,0,0,0
1042,DZA,Algeria,0,0,0
1043,DZA,Algeria,0,0,0
1044,DZA,Algeria,0,0,0
1045,DZA,Algeria,0,0,0
1046,DZA,Algeria,0,0,0
1047,DZA,Algeria,0,0,0
1048,DZA,Algeria,0,0,0
1049,DZA,Algeria,0,0,0
1050,DZA,Algeria,0,0,0
1051,DZA,Algeria,0,0,0
1052,DZA,Algeria,0,0,0
1053,DZA,Algeria,0,0,0
1054,DZA,Algeria,2,9,4.5
1055,DZA,Algeria,0,0,0
1056,DZA,Algeria,0,0,0
1057,DZA,Algeria,0,0,0
1058,DZA,Algeria,0,0,0
1059,DZA,Algeria,0,0,0
1060,DZA,Algeria,0,0,0
1061,DZA,Algeria,0,0,0
1062,DZA,Algeria,0,0,0
1063,DZA,Algeria,0,0,0
1064,DZA,Algeria,0,0,0
1065,DZA,Algeria,0,0,0
1066,DZA,Algeria,0,0,0
1067,DZA,Algeria,0,0,0
1068,DZA,Algeria,0,0,0
1069,DZA,Algeria,0,0,0
1070,DZA,Algeria,0,0,0
1071,DZA,Algeria,0,0,0
1072,DZA,Algeria,0,0,0
1073,DZA,Algeria,0,0,0
1074,DZA,Algeria,0,0,0
1075,DZA,Algeria,0,0,0
1076,DZA,Algeria,0,0,0
1077,DZA,Algeria,0,0,0
1078,DZA,Algeria,0,0,0
1079,DZA,Algeria,0,0,0
1080,DZA,Algeria,0,0,0
1081,DZA,Algeria,0,0,0
1082,DZA,Algeria,0,0,0
1083,DZA,Algeria,0,0,0
1084,DZA,Algeria,0,0,0
1085,DZA,Algeria,0,0,0
1086,DZA,Algeria,0,0,0
1087,DZA,Algeria,0,0,0
1088,DZA,Algeria,0,0,0
1089,DZA,Algeria,0,0,0
1090,DZA,Algeria,0,0,0
1091,DZA,Algeria,0,0,0
1092,DZA,Algeria,0,0,0
1093,DZA,Algeria,0,0,0
1094,DZA,Algeria,0,0,0
1095,DZA,Algeria,0,0,0
1096,DZA,Algeria,0,0,0
1097,DZA,Algeria,0,0,0
1098,DZA,Algeria,1,1,1
1099,DZA,Algeria,0,0,0
1100,DZA,Algeria,2,5,2.5
1101,DZA,Algeria,0,0,0
1102,DZA,Algeria,0,0,0
1103,DZA,Algeria,0,0,0
1104,DZA,Algeria,0,0,0
1105,DZA,Algeria,0,0,0
1106,DZA,Algeria,0,0,0
1107,DZA,Algeria,0,0,0
1108,DZA,Algeria,0,0,0
1109,DZA,Algeria,0,0,0
1110,DZA,Algeria,0,0,0
1111,DZA,Algeria,0,0,0
1112,DZA,Algeria,0,0,0
1113,DZA,Algeria,0,0,0
1114,DZA,Algeria,0,0,0
1115,DZA,Algeria,0,0,0
1116,DZA,Algeria,0,0,0
1117,DZA,Algeria,0,0,0
1118,DZA,Algeria,0,0,0
1119,DZA,Algeria,0,0,0
1120,DZA,Algeria,0,0,0
1121,DZA,Algeria,0,0,0
1122,DZA,Algeria,0,0,0
1123,DZA,Algeria,0,0,0
1124,DZA,Algeria,0,0,0
1125,DZA,Algeria,0,0,0
1126,DZA,Algeria,0,0,0
1127,DZA,Algeria,0,0,0
1128,DZA,Algeria,0,0,0
1129,DZA,Algeria,0,0,0
1130,DZA,Algeria,0,0,0
1131,DZA,Algeria,1,1,1
1132,DZA,Algeria,0,0,0
1133,DZA,Algeria,0,0,0
1134,DZA,Algeria,0,0,0
1135,DZA,Algeria,0,0,0
1136,DZA,Algeria,0,0,0
1137,DZA,Algeria,0,0,0
1138,DZA,Algeria,0,0,0
1139,DZA,Algeria,0,0,0
1140,DZA,Algeria,0,0,0
1141,DZA,Algeria,0,0,0
1142,DZA,Algeria,0,0,0
1143,DZA,Algeria,0,0,0
1144,DZA,Algeria,0,0,0
1145,DZA,Algeria,0,0,0
1146,DZA,Algeria,0,0,0
1147,DZA,Algeria,0,0,0
1148,DZA,Algeria,0,0,0
1149,DZA,Algeria,0,0,0
1150,DZA,Algeria,0,0,0
1151,DZA,Algeria,0,0,0
1152,DZA,Algeria,0,0,0
1153,DZA,Algeria,0,0,0
1154,DZA,Algeria,0,0,0
1155,DZA,Algeria,0,0,0
1156,DZA,Algeria,0,0,0
1157,DZA,Algeria,0,0,0
1158,DZA,Algeria,0,0,0
1159,DZA,Algeria,1,0,0
1160,DZA,Algeria,0,0,0
1161,DZA,Algeria,0,0,0
1162,DZA,Algeria,1,2,2
1163,DZA,Algeria,0,0,0
1164,DZA,Algeria,0,0,0
1165,DZA,Algeria,0,0,0
1166,DZA,Algeria,1,1,1
1167,DZA,Algeria,1,2,2
1168,DZA,Algeria,0,0,0
1169,DZA,Algeria,1,3,3
1170,DZA,Algeria,0,0,0
1171,DZA,Algeria,0,0,0
1172,DZA,Algeria,0,0,0
1173,DZA,Algeria,0,0,0
1174,DZA,Algeria,0,0,0
1175,DZA,Algeria,0,0,0
1176,DZA,Algeria,1,0,0
1177,DZA,Algeria,0,0,0
1178,DZA,Algeria,0,0,0
1179,DZA,Algeria,0,0,0
1180,DZA,Algeria,2,1,0.5
1181,DZA,Algeria,0,0,0
1182,DZA,Algeria,0,0,0
1183,DZA,Algeria,0,0,0
1184,DZA,Algeria,0,0,0
1185,DZA,Algeria,0,0,0
1186,DZA,Algeria,0,0,0
1187,DZA,Algeria,0,0,0
1188,DZA,Algeria,0,0,0
1189,DZA,Algeria,2,2,1
1190,DZA,Algeria,1,1,1
1191,DZA,Algeria,1,1,1
1192,DZA,Algeria,2,6,3
1193,DZA,Algeria,0,0,0
1194,DZA,Algeria,0,0,0
1195,DZA,Algeria,0,0,0
1196,DZA,Algeria,0,0,0
1197,DZA,Algeria,0,0,0
1198,DZA,Algeria,0,0,0
1199,DZA,Algeria,0,0,0
1200,DZA,Algeria,0,0,0
1201,DZA,Algeria,0,0,0
1202,DZA,Algeria,0,0,0
1203,DZA,Algeria,0,0,0
1204,DZA,Algeria,2,4,2
1205,DZA,Algeria,0,0,0
1206,DZA,Algeria,0,0,0
1207,DZA,Algeria,0,0,0
1208,DZA,Algeria,0,0,0
1209,DZA,Algeria,0,0,0
1210,DZA,Algeria,0,0,0
1211,DZA,Algeria,0,0,0
1212,DZA,Algeria,0,0,0
1213,DZA,Algeria,0,0,0
1214,DZA,Algeria,0,0,0
1215,DZA,Algeria,8,22,2.75
1216,DZA,Algeria,0,0,0
1217,DZA,Algeria,0,0,0
1218,DZA,Algeria,0,0,0
1219,DZA,Algeria,0,0,0
1220,DZA,Algeria,4,2,0.5
1221,DZA,Algeria,0,0,0
1222,DZA,Algeria,0,0,0
1223,DZA,Algeria,0,0,0
1224,DZA,Algeria,0,0,0
1225,DZA,Algeria,0,0,0
1226,DZA,Algeria,0,0,0
1227,DZA,Algeria,0,0,0
1228,DZA,Algeria,0,0,0
1229,DZA,Algeria,0,0,0
1230,DZA,Algeria,2,6,3
1231,DZA,Algeria,0,0,0
1232,DZA,Algeria,0,0,0
1233,DZA,Algeria,0,0,0
1234,DZA,Algeria,0,0,0
1235,DZA,Algeria,0,0,0
1236,DZA,Algeria,0,0,0
1237,DZA,Algeria,1,1,1
1238,DZA,Algeria,0,0,0
1239,DZA,Algeria,0,0,0
1240,DZA,Algeria,0,0,0
1241,DZA,Algeria,0,0,0
1242,DZA,Algeria,0,0,0
1243,DZA,Algeria,0,0,0
1244,DZA,Algeria,0,0,0
1245,DZA,Algeria,0,0,0
1246,DZA,Algeria,0,0,0
1247,DZA,Algeria,0,0,0
1248,DZA,Algeria,0,0,0
